,Distancia
0,148.40244361776053
1,148.40244361776053
2,148.40244361776053
3,148.40244361776053
4,148.40244361776053
5,148.40244361776053
6,148.40244361776053
7,148.40244361776053
8,148.40244361776053
9,148.40244361776053
10,148.40244361776053
11,148.40244361776053
12,148.40244361776053
13,148.40244361776053
14,148.40244361776053
15,148.40244361776053
16,148.40244361776053
17,148.40244361776053
18,148.40244361776053
19,148.40244361776053
20,148.40244361776053
21,148.40244361776053
22,148.40244361776053
23,147.9074903938488
24,147.8785592688197
25,147.8785592688197
26,147.8785592688197
27,147.8785592688197
28,147.8785592688197
29,147.8785592688197
30,147.8785592688197
31,147.8785592688197
32,147.8785592688197
33,147.8785592688197
34,147.8785592688197
35,147.8785592688197
36,147.8785592688197
37,147.32610808290787
38,147.32610808290787
39,147.32610808290787
40,147.35491662838865
41,147.32610808290787
42,147.32610808290787
43,147.32610808290787
44,147.32610808290787
45,147.32610808290787
46,146.80259370843194
47,146.80259370843194
48,147.3535464858472
49,147.3535464858472
50,147.3535464858472
51,146.77539277210272
52,146.80259370843194
53,146.25201045316476
54,146.27805129399877
55,146.27805129399877
56,146.27805129399877
57,146.27805129399877
58,146.25201045316476
59,146.27805129399877
60,146.25201045316476
61,146.25201045316476
62,146.25201045316476
63,145.7288681583925
64,145.7288681583925
65,145.7288681583925
66,145.70318169727588
67,145.18017457406336
68,145.2047982021775
69,145.2047982021775
70,145.2047982021775
71,145.72770333429617
72,145.2047982021775
73,145.2047982021775
74,145.2047982021775
75,144.68213292042248
76,144.68213292042248
77,144.65634304260033
78,144.68213292042248
79,144.68213292042248
80,144.68213292042248
81,144.68213292042248
82,144.65740661089143
83,144.68213292042248
84,144.68213292042248
85,144.65740661089143
86,144.68213292042248
87,144.65740661089143
88,144.15970740254252
89,144.15970740254252
90,144.133811349229
91,144.13487771425395
92,144.13487771425395
93,144.13487771425395
94,144.133811349229
95,144.15970740254252
96,144.15970740254252
97,144.133811349229
98,144.15970740254252
99,144.15970740254252
100,144.15970740254252
101,144.15970740254252
102,144.15970740254252
103,144.15970740254252
104,144.133811349229
105,144.133811349229
106,144.15970740254252
107,144.15970740254252
108,144.133811349229
109,144.133811349229
110,144.15970740254252
111,144.15970740254252
112,144.15970740254252
113,144.15970740254252
114,144.15970740254252
115,144.15970740254252
116,144.133811349229
117,144.133811349229
118,144.15970740254252
119,144.133811349229
120,144.15970740254252
121,144.15970740254252
122,144.133811349229
123,144.13487771425395
124,144.133811349229
125,144.15970740254252
126,144.133811349229
127,144.133811349229
128,144.11062496254286
129,144.133811349229
130,144.15970740254252
131,144.133811349229
132,144.133811349229
133,144.15970740254252
134,144.133811349229
135,144.133811349229
136,144.15970740254252
137,144.133811349229
138,144.13487771425395
139,144.11062496254286
140,144.133811349229
141,144.133811349229
142,144.133811349229
143,144.15970740254252
144,144.15970740254252
145,144.15970740254252
146,144.133811349229
147,144.133811349229
148,144.13487771425395
149,144.133811349229
150,144.133811349229
151,144.11062496254286
152,144.133811349229
153,144.133811349229
154,144.133811349229
155,144.15970740254252
156,144.133811349229
157,144.133811349229
158,144.15970740254252
159,144.133811349229
160,144.133811349229
161,144.133811349229
162,144.133811349229
163,144.11062496254286
164,144.133811349229
165,144.15970740254252
166,144.133811349229
167,144.133811349229
168,144.15970740254252
169,144.133811349229
170,144.133811349229
171,144.133811349229
172,144.11062496254286
173,144.133811349229
174,144.133811349229
175,144.133811349229
176,144.133811349229
177,144.15970740254252
178,144.133811349229
179,144.133811349229
180,144.15970740254252
181,144.15970740254252
182,144.15970740254252
183,144.133811349229
184,144.15970740254252
185,144.15970740254252
186,144.68213292042248
187,144.68213292042248
188,144.68213292042248
189,144.68213292042248
190,144.68213292042248
191,144.68213292042248
192,145.2047982021775
193,145.2047982021775
194,145.2047982021775
195,145.23222080883772
196,145.75501572389007
197,145.75501572389007
198,145.75501572389007
199,145.7288681583925
200,146.27805129399877
201,146.25201045316476
202,146.25201045316476
203,146.27805129399877
204,146.25201045316476
205,146.80259370843194
206,147.35491662838865
207,146.80259370843194
208,146.83014275462168
209,146.80259370843194
210,147.35491662838865
211,147.44887600743442
212,148.43420989948794
213,147.38396295459722
214,146.8658016381183
215,147.41835553327462
216,147.8785592688197
217,147.97263460551244
218,148.432731755663
219,146.40530970284246
220,148.496635826324
221,147.41835553327462
222,147.4169854797549
223,149.45093775709083
224,147.94223202938477
225,148.496635826324
226,148.59415188311345
227,148.59415188311345
228,148.16771075890253
229,148.6919279245881
230,148.6919279245881
231,148.2314993368947
232,148.75595097499783
233,149.2163896975873
234,149.2163896975873
235,148.75595097499783
236,148.75595097499783
237,148.75595097499783
238,149.3160054804524
239,148.26300906033592
240,148.75595097499783
241,148.7914409551766
242,148.7914409551766
243,148.7914409551766
244,148.75595097499783
245,148.75595097499783
246,148.75595097499783
247,148.75595097499783
248,148.75595097499783
249,148.75595097499783
250,148.75595097499783
251,148.75595097499783
252,150.23646389763994
253,149.31421016659485
254,149.27784866820915
255,150.36055861487822
256,150.39376000069055
257,151.0164931308033
258,151.6737842812874
259,152.72848142596342
260,152.72848142596342
261,153.28721202099862
262,152.79285032524393
263,152.8255392779888
264,152.7944091156905
265,152.79285032524393
266,153.25464165204318
267,152.23545511998537
268,152.23545511998537
269,152.23545511998537
270,152.20588156331468
271,152.76182818190227
272,152.2340007247997
273,152.20588156331468
274,152.79285032524393
275,152.7338183468395
276,152.2340007247997
277,152.7338183468395
278,152.2340007247997
279,152.2340007247997
280,152.66654065318588
281,152.73247389842587
282,152.76182818190227
283,152.76182818190227
284,152.76182818190227
285,152.76182818190227
286,152.2340007247997
287,152.2045343506992
288,152.2045343506992
289,152.17674182915027
290,152.17674182915027
291,152.5854600544798
292,152.03322232269352
293,152.0323457483143
294,152.165566258683
295,153.15763957376154
296,152.76709771559158
297,152.6504076308526
298,152.62816429125627
299,152.6504076308526
300,152.6504076308526
301,152.1888962375178
302,152.2556915277162
303,152.33605585072524
304,152.33605585072524
305,152.33605585072524
306,152.33605585072524
307,152.33605585072524
308,152.33740284583507
309,152.33740284583507
310,152.33740284583507
311,152.33740284583507
312,152.33740284583507
313,152.3655166998356
314,152.33740284583507
315,152.33740284583507
316,152.33740284583507
317,152.33740284583507
318,152.33740284583507
319,152.33740284583507
320,152.33740284583507
321,152.33740284583507
322,152.3669709262235
323,152.89526918566278
324,152.89526918566278
325,152.9263930373536
326,152.9263930373536
327,152.9263930373536
328,152.9263930373536
329,152.95918367338027
330,152.9263930373536
331,152.95918367338027
332,152.95918367338027
333,152.95918367338027
334,152.95918367338027
335,152.95918367338027
336,152.95918367338027
337,152.95918367338027
338,152.95918367338027
339,152.95918367338027
340,152.95918367338027
341,152.95918367338027
342,152.95918367338027
343,152.95918367338027
344,152.95918367338027
345,152.95918367338027
346,152.95918367338027
347,152.95918367338027
348,152.95918367338027
349,152.95918367338027
350,152.95918367338027
351,152.95918367338027
352,152.95918367338027
353,152.9263930373536
354,152.95918367338027
355,152.95918367338027
356,152.95918367338027
357,152.95918367338027
358,152.95918367338027
359,152.95918367338027
360,152.95918367338027
361,152.95918367338027
362,152.95918367338027
363,152.95918367338027
364,152.9263930373536
365,152.95918367338027
366,152.9263930373536
367,152.95918367338027
368,152.95918367338027
369,152.9263930373536
370,152.9263930373536
371,152.95918367338027
372,152.95751791409793
373,152.3669709262235
374,152.85882091194026
375,153.38701352632592
376,152.3669709262235
377,152.82925307694396
378,152.89526918566278
379,152.3669709262235
380,152.82925307694396
381,152.3669709262235
382,152.82925307694396
383,152.82925307694396
384,152.82925307694396
385,152.79979432087998
386,152.79979432087998
387,153.88466431997063
388,154.78112502818163
389,152.86581317121158
390,152.42945605472252
391,152.3669709262235
392,152.7632798424444
393,152.23545511998537
394,151.70787496794588
395,151.18053930643495
396,151.11531802427825
397,151.11531802427825
398,151.05013906677195
399,151.05013906677195
400,150.52351976869375
401,151.02033380021334
402,150.4936003025346
403,150.4936003025346
404,150.52351976869375
405,150.52351976869375
406,150.52351976869375
407,150.52351976869375
408,150.52351976869375
409,150.52351976869375
410,150.52351976869375
411,150.52351976869375
412,150.52351976869375
413,150.52351976869375
414,150.52351976869375
415,150.52351976869375
416,150.52351976869375
417,150.52351976869375
418,150.52351976869375
419,150.52351976869375
420,150.52351976869375
421,150.52351976869375
422,150.52351976869375
423,150.52351976869375
424,150.52351976869375
425,150.98500239728787
426,150.52351976869375
427,150.52351976869375
428,150.52351976869375
429,150.52351976869375
430,150.52351976869375
431,150.52351976869375
432,150.52351976869375
433,150.98500239728787
434,150.98500239728787
435,150.98500239728787
436,150.98500239728787
437,150.98500239728787
438,150.98500239728787
439,150.52351976869375
440,150.98500239728787
441,150.52351976869375
442,150.98500239728787
443,150.98500239728787
444,150.98500239728787
445,150.98500239728787
446,150.98500239728787
447,150.52351976869375
448,150.98500239728787
449,150.98500239728787
450,150.98500239728787
451,150.98500239728787
452,150.98500239728787
453,150.98500239728787
454,150.98500239728787
455,150.98500239728787
456,150.98500239728787
457,150.98500239728787
458,149.99714448864515
459,150.98500239728787
460,150.98500239728787
461,150.52351976869375
462,150.98500239728787
463,150.98500239728787
464,150.98500239728787
465,150.98500239728787
466,150.98500239728787
467,150.98500239728787
468,150.98500239728787
469,150.52351976869375
470,150.98500239728787
471,150.45861883791636
472,150.98500239728787
473,150.98500239728787
474,150.45861883791636
475,150.52351976869375
476,150.98500239728787
477,150.98500239728787
478,150.98500239728787
479,150.98500239728787
480,150.98500239728787
481,150.98500239728787
482,150.52351976869375
483,150.98500239728787
484,150.98500239728787
485,150.45861883791636
486,150.98500239728787
487,150.98500239728787
488,150.98500239728787
489,150.98500239728787
490,150.98500239728787
491,150.98500239728787
492,150.98500239728787
493,150.45861883791636
494,150.98500239728787
495,150.45861883791636
496,150.98500239728787
